Date,Ticker,Shares,Buy_Price,Status,Buy_Date,Holding_Days,Sell_Date,Sell_Price,Invested_Amount,Net_Profit,Current_Valuation,ROI
2026-04-01,RCI,263.0,37.92,持有,2026-03-31,1,-,-,9974.26,-38.62,9935.64,-0.39%
2026-04-01,RY,63.0,157.28,持有,2026-03-31,1,-,-,9908.65,255.69,10164.34,2.58%
2026-04-01,TD,109.0,91.28,持有,2026-03-31,1,-,-,9949.31,224.26,10173.57,2.25%
2026-04-01,WU,1168.0,8.56,持有,2026-03-31,1,-,-,9999.84,-428.59,9571.25,-4.29%
2026-04-01,AES,727.0,13.74,持有,2026-03-31,1,-,-,9987.43,89.37,10076.8,0.89%
2026-04-01,BCE,397.0,25.17,持有,2026-03-31,1,-,-,9992.86,-45.26,9947.61,-0.45%
2026-04-01,DKL,199.0,50.02,持有,2026-03-31,1,-,-,9954.16,-124.89,9829.27,-1.25%
2026-04-01,LNTH,135.0,73.68,持有,2026-03-31,1,-,-,9947.29,272.21,10219.5,2.74%
2026-04-01,TRV,34.0,293.76,持有,2026-03-31,1,-,-,9987.72,-150.83,9836.9,-1.51%
2026-04-01,MPLX,180.0,55.49,买入,2026-04-01,0,-,-,9988.86,-115.91,9872.95,-1.16%
2026-04-02,RCI,263.0,37.92,持有,2026-03-31,2,-,-,9974.26,-848.79,9125.47,-8.51%
2026-04-02,RY,63.0,157.28,持有,2026-03-31,2,-,-,9908.65,253.82,10162.47,2.56%
2026-04-02,TD,109.0,91.28,持有,2026-03-31,2,-,-,9949.31,280.12,10229.43,2.82%
2026-04-02,WU,1168.0,8.56,持有,2026-03-31,2,-,-,9999.84,-145.75,9854.09,-1.46%
2026-04-02,AES,727.0,13.74,持有,2026-03-31,2,-,-,9987.43,160.33,10147.76,1.61%
2026-04-02,BCE,397.0,25.17,持有,2026-03-31,2,-,-,9992.86,-409.77,9583.1,-4.10%
2026-04-02,DKL,199.0,50.02,持有,2026-03-31,2,-,-,9954.16,-158.02,9796.15,-1.59%
2026-04-02,LNTH,135.0,73.68,持有,2026-03-31,2,-,-,9947.29,326.21,10273.5,3.28%
2026-04-02,TRV,34.0,293.76,持有,2026-03-31,2,-,-,9987.72,-33.68,9954.05,-0.34%
2026-04-02,MPLX,180.0,55.49,持有,2026-04-01,1,-,-,9988.86,-119.44,9869.41,-1.20%
2026-04-03,RCI,263.0,37.92,持有,2026-03-31,3,-,-,9974.26,-1010.3,8963.96,-10.13%
2026-04-03,RY,63.0,157.28,持有,2026-03-31,3,-,-,9908.65,319.75,10228.4,3.23%
2026-04-03,TD,109.0,91.28,持有,2026-03-31,3,-,-,9949.31,352.1,10301.41,3.54%
2026-04-03,WU,1168.0,8.56,持有,2026-03-31,3,-,-,9999.84,-66.56,9933.29,-0.67%
2026-04-03,AES,727.0,13.74,持有,2026-03-31,3,-,-,9987.43,181.62,10169.05,1.82%
2026-04-03,BCE,397.0,25.17,持有,2026-03-31,3,-,-,9992.86,-484.24,9508.63,-4.85%
2026-04-03,DKL,199.0,50.02,持有,2026-03-31,3,-,-,9954.16,-195.03,9759.13,-1.96%
2026-04-03,LNTH,135.0,73.68,持有,2026-03-31,3,-,-,9947.29,297.86,10245.15,2.99%
2026-04-03,TRV,34.0,293.76,持有,2026-03-31,3,-,-,9987.72,19.14,10006.86,0.19%
2026-04-03,MPLX,180.0,55.49,持有,2026-04-01,2,-,-,9988.86,-161.82,9827.04,-1.62%
2026-04-06,RCI,263.0,37.92,持有,2026-03-31,6,-,-,9974.26,-1010.3,8963.96,-10.13%
2026-04-06,RY,63.0,157.28,持有,2026-03-31,6,-,-,9908.65,319.75,10228.4,3.23%
2026-04-06,TD,109.0,91.28,持有,2026-03-31,6,-,-,9949.31,352.1,10301.41,3.54%
2026-04-06,WU,1168.0,8.56,持有,2026-03-31,6,-,-,9999.84,-66.56,9933.29,-0.67%
2026-04-06,AES,727.0,13.74,持有,2026-03-31,6,-,-,9987.43,181.62,10169.05,1.82%
2026-04-06,BCE,397.0,25.17,持有,2026-03-31,6,-,-,9992.86,-484.24,9508.63,-4.85%
2026-04-06,DKL,199.0,50.02,持有,2026-03-31,6,-,-,9954.16,-195.03,9759.13,-1.96%
2026-04-06,LNTH,135.0,73.68,持有,2026-03-31,6,-,-,9947.29,297.86,10245.15,2.99%
2026-04-06,TRV,34.0,293.76,持有,2026-03-31,6,-,-,9987.72,19.14,10006.86,0.19%
2026-04-06,MPLX,180.0,55.49,持有,2026-04-01,5,-,-,9988.86,-161.82,9827.04,-1.62%
2026-04-07,RCI,263.0,37.92,持有,2026-03-31,7,-,-,9974.26,-1307.28,8666.99,-13.11%
2026-04-07,RY,63.0,157.28,持有,2026-03-31,7,-,-,9908.65,378.21,10286.87,3.82%
2026-04-07,TD,109.0,91.28,持有,2026-03-31,7,-,-,9949.31,470.27,10419.58,4.73%
2026-04-07,WU,1168.0,8.56,持有,2026-03-31,7,-,-,9999.84,-32.62,9967.23,-0.33%
2026-04-07,AES,727.0,13.74,持有,2026-03-31,7,-,-,9987.43,252.59,10240.02,2.53%
2026-04-07,BCE,397.0,25.17,持有,2026-03-31,7,-,-,9992.86,-652.77,9340.09,-6.53%
2026-04-07,DKL,199.0,50.02,持有,2026-03-31,7,-,-,9954.16,-263.23,9690.94,-2.64%
2026-04-07,LNTH,135.0,73.68,持有,2026-03-31,7,-,-,9947.29,593.51,10540.8,5.97%
2026-04-07,TRV,34.0,293.76,持有,2026-03-31,7,-,-,9987.72,2.21,9989.94,0.02%
2026-04-07,MPLX,180.0,55.49,持有,2026-04-01,6,-,-,9988.86,-235.97,9752.89,-2.36%
2026-04-08,RCI,263.0,37.92,持有,2026-03-31,8,-,-,9974.26,-1312.49,8661.78,-13.16%
2026-04-08,RY,63.0,157.28,持有,2026-03-31,8,-,-,9908.65,631.98,10540.63,6.38%
2026-04-08,TD,109.0,91.28,持有,2026-03-31,8,-,-,9949.31,718.43,10667.75,7.22%
2026-04-08,WU,1168.0,8.56,持有,2026-03-31,8,-,-,9999.84,35.26,10035.11,0.35%
2026-04-08,AES,727.0,13.74,持有,2026-03-31,8,-,-,9987.43,231.3,10218.73,2.32%
2026-04-08,BCE,397.0,25.17,持有,2026-03-31,8,-,-,9992.86,-539.11,9453.75,-5.39%
2026-04-08,DKL,199.0,50.02,持有,2026-03-31,8,-,-,9954.16,-456.11,9498.05,-4.58%
2026-04-08,LNTH,135.0,73.68,持有,2026-03-31,8,-,-,9947.29,856.76,10804.05,8.61%
2026-04-08,TRV,34.0,293.76,持有,2026-03-31,8,-,-,9987.72,223.65,10211.37,2.24%
2026-04-08,MPLX,180.0,55.49,持有,2026-04-01,7,-,-,9988.86,-121.21,9867.65,-1.21%
2026-04-09,RCI,263.0,37.92,持有,2026-03-31,9,-,-,9974.26,-1429.71,8544.55,-14.33%
2026-04-09,RY,63.0,157.28,持有,2026-03-31,9,-,-,9908.65,714.08,10622.73,7.21%
2026-04-09,TD,109.0,91.28,持有,2026-03-31,9,-,-,9949.31,864.61,10813.92,8.69%
2026-04-09,WU,1168.0,8.56,持有,2026-03-31,9,-,-,9999.84,182.34,10182.18,1.82%
2026-04-09,AES,727.0,13.74,持有,2026-03-31,9,-,-,9987.43,238.39,10225.82,2.39%
2026-04-09,BCE,397.0,25.17,持有,2026-03-31,9,-,-,9992.86,-629.26,9363.61,-6.30%
2026-04-09,DKL,199.0,50.02,持有,2026-03-31,9,-,-,9954.16,-271.02,9683.14,-2.72%
2026-04-09,LNTH,135.0,73.68,持有,2026-03-31,9,-,-,9947.29,1045.76,10993.05,10.51%
2026-04-09,TRV,34.0,293.76,持有,2026-03-31,9,-,-,9987.72,279.17,10266.9,2.80%
2026-04-09,MPLX,180.0,55.49,持有,2026-04-01,8,-,-,9988.86,-38.23,9950.63,-0.38%
2026-04-10,RCI,263.0,37.92,持有,2026-03-31,10,-,-,9974.26,-1523.5,8450.77,-15.27%
2026-04-10,RY,63.0,157.28,持有,2026-03-31,10,-,-,9908.65,783.74,10692.39,7.91%
2026-04-10,TD,109.0,91.28,持有,2026-03-31,10,-,-,9949.31,955.57,10904.88,9.60%
2026-04-10,WU,1168.0,8.56,持有,2026-03-31,10,-,-,9999.84,46.58,10046.42,0.47%
2026-04-10,AES,727.0,13.74,持有,2026-03-31,10,-,-,9987.43,224.2,10211.63,2.24%
2026-04-10,BCE,397.0,25.17,持有,2026-03-31,10,-,-,9992.86,-840.91,9151.96,-8.42%
2026-04-10,DKL,199.0,50.02,持有,2026-03-31,10,-,-,9954.16,-243.74,9710.42,-2.45%
2026-04-10,LNTH,135.0,73.68,持有,2026-03-31,10,-,-,9947.29,932.36,10879.65,9.37%
2026-04-10,TRV,34.0,293.76,持有,2026-03-31,10,-,-,9987.72,77.04,10064.76,0.77%
2026-04-10,MPLX,180.0,55.49,持有,2026-04-01,9,-,-,9988.86,-75.3,9913.55,-0.75%
2026-04-13,RCI,263.0,37.92,持有,2026-03-31,13,-,-,9974.26,-1440.13,8534.13,-14.44%
2026-04-13,WU,1168.0,8.56,持有,2026-03-31,13,-,-,9999.84,272.85,10272.69,2.73%
2026-04-13,AES,727.0,13.74,持有,2026-03-31,13,-,-,9987.43,231.3,10218.73,2.32%
2026-04-13,BCE,397.0,25.17,持有,2026-03-31,13,-,-,9992.86,-782.12,9210.75,-7.83%
2026-04-13,DKL,199.0,50.02,持有,2026-03-31,13,-,-,9954.16,-403.5,9550.66,-4.05%
2026-04-13,LNTH,135.0,73.68,持有,2026-03-31,13,-,-,9947.29,1078.16,11025.45,10.84%
2026-04-13,TRV,34.0,293.76,持有,2026-03-31,13,-,-,9987.72,214.16,10201.89,2.14%
2026-04-13,MPLX,180.0,55.49,持有,2026-04-01,12,-,-,9988.86,-89.43,9899.43,-0.90%
2026-04-13,RY,63.0,157.28,卖出,2026-03-31,13,2026-04-13,169.72,9908.65,783.74,10692.39,7.91%
2026-04-13,TD,109.0,91.28,卖出,2026-03-31,13,2026-04-13,100.04,9949.31,955.57,10904.88,9.60%
2026-04-14,RCI,263.0,37.92,持有,2026-03-31,14,-,-,9974.26,-1304.67,8669.59,-13.08%
2026-04-14,WU,1168.0,8.56,持有,2026-03-31,14,-,-,9999.84,363.36,10363.2,3.63%
2026-04-14,AES,727.0,13.74,持有,2026-03-31,14,-,-,9987.43,231.3,10218.73,2.32%
2026-04-14,BCE,397.0,25.17,持有,2026-03-31,14,-,-,9992.86,-644.94,9347.93,-6.45%
2026-04-14,DKL,199.0,50.02,持有,2026-03-31,14,-,-,9954.16,-491.18,9462.98,-4.93%
2026-04-14,LNTH,135.0,73.68,持有,2026-03-31,14,-,-,9947.29,1222.61,11169.9,12.29%
2026-04-14,TRV,34.0,293.76,持有,2026-03-31,14,-,-,9987.72,155.93,10143.65,1.56%
2026-04-14,MPLX,180.0,55.49,持有,2026-04-01,13,-,-,9988.86,-276.58,9712.28,-2.77%
2026-04-15,RCI,263.0,37.92,持有,2026-03-31,15,-,-,9974.26,-1307.28,8666.99,-13.11%
2026-04-15,WU,1168.0,8.56,持有,2026-03-31,15,-,-,9999.84,363.36,10363.2,3.63%
2026-04-15,AES,727.0,13.74,持有,2026-03-31,15,-,-,9987.43,266.78,10254.21,2.67%
2026-04-15,BCE,397.0,25.17,持有,2026-03-31,15,-,-,9992.86,-656.7,9336.17,-6.57%
2026-04-15,DKL,199.0,50.02,持有,2026-03-31,15,-,-,9954.16,-444.42,9509.74,-4.46%
2026-04-15,LNTH,135.0,73.68,持有,2026-03-31,15,-,-,9947.29,1384.61,11331.9,13.92%
2026-04-15,TRV,34.0,293.76,持有,2026-03-31,15,-,-,9987.72,147.12,10134.85,1.47%
