Date,Ticker,Shares,Buy_Price,Status,Buy_Date,Holding_Days,Sell_Date,Sell_Price,Invested_Amount,Net_Profit,Current_Valuation,ROI
2026-05-01,RCI,266.0,37.56,持有,2026-03-31,31,-,-,9990.71,-482.27,9508.43,-4.83%
2026-05-01,WU,1209.0,8.27,持有,2026-03-31,31,-,-,9995.76,419.75,10415.52,4.20%
2026-05-01,AES,727.0,13.74,持有,2026-03-31,31,-,-,9987.43,271.09,10258.52,2.71%
2026-05-01,BCE,402.0,24.83,持有,2026-03-31,31,-,-,9982.91,-601.22,9381.69,-6.02%
2026-05-01,DKL,203.0,49.08,持有,2026-03-31,31,-,-,9963.15,557.52,10520.67,5.60%
2026-05-01,TRV,34.0,292.76,持有,2026-03-31,31,-,-,9953.69,328.5,10282.19,3.30%
2026-05-01,MPLX,183.0,54.5,持有,2026-04-01,30,-,-,9974.32,5.9,9980.22,0.06%
2026-05-01,APA,275.0,36.26,持有,2026-04-15,16,-,-,9970.71,987.91,10958.62,9.91%
2026-05-01,AA,147.0,67.57,持有,2026-04-23,8,-,-,9932.54,-758.44,9174.1,-7.64%
2026-05-01,JBS,641.0,15.6,持有,2026-04-24,7,-,-,9997.72,-455.07,9542.64,-4.55%
2026-05-04,RCI,266.0,37.56,持有,2026-03-31,34,-,-,9990.71,-623.18,9367.53,-6.24%
2026-05-04,WU,1209.0,8.27,持有,2026-03-31,34,-,-,9995.76,385.83,10381.59,3.86%
2026-05-04,AES,727.0,13.74,持有,2026-03-31,34,-,-,9987.43,271.09,10258.52,2.71%
2026-05-04,BCE,402.0,24.83,持有,2026-03-31,34,-,-,9982.91,-612.97,9369.94,-6.14%
2026-05-04,TRV,34.0,292.76,持有,2026-03-31,34,-,-,9953.69,220.86,10174.55,2.22%
2026-05-04,MPLX,183.0,54.5,持有,2026-04-01,33,-,-,9974.32,104.63,10078.95,1.05%
2026-05-04,APA,275.0,36.26,持有,2026-04-15,19,-,-,9970.71,1504.02,11474.74,15.08%
2026-05-04,AA,147.0,67.57,持有,2026-04-23,11,-,-,9932.54,-783.34,9149.2,-7.89%
2026-05-04,JBS,641.0,15.6,持有,2026-04-24,10,-,-,9997.72,-555.96,9441.76,-5.56%
2026-05-04,RL,27.0,360.06,买入,2026-05-04,0,-,-,9721.63,-179.13,9542.51,-1.84%
2026-05-04,DKL,203.0,49.08,卖出,2026-03-31,34,2026-05-04,51.83,9963.15,557.52,10520.67,5.60%
2026-05-05,RCI,266.0,37.56,持有,2026-03-31,35,-,-,9990.71,-445.74,9544.97,-4.46%
2026-05-05,WU,1209.0,8.27,持有,2026-03-31,35,-,-,9995.76,317.97,10313.74,3.18%
2026-05-05,AES,727.0,13.74,持有,2026-03-31,35,-,-,9987.43,335.74,10323.17,3.36%
2026-05-05,BCE,402.0,24.83,持有,2026-03-31,35,-,-,9982.91,-546.41,9436.51,-5.47%
2026-05-05,TRV,34.0,292.76,持有,2026-03-31,35,-,-,9953.69,214.79,10168.48,2.16%
2026-05-05,MPLX,183.0,54.5,持有,2026-04-01,34,-,-,9974.32,-161.58,9812.74,-1.62%
2026-05-05,APA,275.0,36.26,持有,2026-04-15,20,-,-,9970.71,1356.56,11327.27,13.61%
2026-05-05,AA,147.0,67.57,持有,2026-04-23,12,-,-,9932.54,-695.45,9237.08,-7.00%
2026-05-05,JBS,641.0,15.6,持有,2026-04-24,11,-,-,9997.72,-360.12,9637.6,-3.60%
2026-05-05,RL,27.0,360.06,持有,2026-05-04,1,-,-,9721.63,-24.8,9696.84,-0.26%
2026-05-06,RCI,266.0,37.56,持有,2026-03-31,36,-,-,9990.71,-482.27,9508.43,-4.83%
2026-05-06,WU,1209.0,8.27,持有,2026-03-31,36,-,-,9995.76,170.96,10166.72,1.71%
2026-05-06,AES,727.0,13.74,持有,2026-03-31,36,-,-,9987.43,314.19,10301.62,3.15%
2026-05-06,BCE,402.0,24.83,持有,2026-03-31,36,-,-,9982.91,-495.5,9487.41,-4.96%
2026-05-06,TRV,34.0,292.76,持有,2026-03-31,36,-,-,9953.69,222.88,10176.58,2.24%
2026-05-06,MPLX,183.0,54.5,持有,2026-04-01,35,-,-,9974.32,-161.58,9812.74,-1.62%
2026-05-06,APA,275.0,36.26,持有,2026-04-15,21,-,-,9970.71,488.17,10458.89,4.90%
2026-05-06,AA,147.0,67.57,持有,2026-04-23,13,-,-,9932.54,-666.16,9266.38,-6.71%
2026-05-06,JBS,641.0,15.6,持有,2026-04-24,12,-,-,9997.72,-93.07,9904.65,-0.93%
2026-05-06,RL,27.0,360.06,持有,2026-05-04,2,-,-,9721.63,301.92,10023.55,3.11%
2026-05-07,RCI,266.0,37.56,持有,2026-03-31,37,-,-,9990.71,-448.35,9542.36,-4.49%
2026-05-07,WU,1209.0,8.27,持有,2026-03-31,37,-,-,9995.76,238.81,10234.57,2.39%
2026-05-07,AES,727.0,13.74,持有,2026-03-31,37,-,-,9987.43,278.27,10265.7,2.79%
2026-05-07,BCE,402.0,24.83,持有,2026-03-31,37,-,-,9982.91,-362.37,9620.54,-3.63%
2026-05-07,TRV,34.0,292.76,持有,2026-03-31,37,-,-,9953.69,133.47,10087.16,1.34%
2026-05-07,MPLX,183.0,54.5,持有,2026-04-01,36,-,-,9974.32,-54.04,9920.28,-0.54%
2026-05-07,APA,275.0,36.26,持有,2026-04-15,22,-,-,9970.71,-74.37,9896.35,-0.75%
2026-05-07,AA,147.0,67.57,持有,2026-04-23,14,-,-,9932.54,-756.98,9175.56,-7.62%
2026-05-07,JBS,641.0,15.6,持有,2026-04-24,13,-,-,9997.72,-312.65,9685.07,-3.13%
2026-05-07,RL,27.0,360.06,持有,2026-05-04,3,-,-,9721.63,-199.06,9522.57,-2.05%
