Date,Ticker,Shares,Buy_Price,Status,Buy_Date,Holding_Days,Sell_Date,Sell_Price,Invested_Amount,Net_Profit,Current_Valuation,ROI
2026-06-01,RCI,266.0,37.56,持有,2026-03-31,62,-,-,9990.71,271.83,10262.54,2.72%
2026-06-01,WU,1168.0,8.56,持有,2026-03-31,62,-,-,9999.84,-779.31,9220.53,-7.79%
2026-06-01,BCE,402.0,24.83,持有,2026-03-31,62,-,-,9982.91,-170.51,9812.4,-1.71%
2026-06-01,TRV,34.0,292.76,持有,2026-03-31,62,-,-,9953.69,-204.3,9749.39,-2.05%
2026-06-01,MPLX,183.0,54.5,持有,2026-04-01,61,-,-,9974.32,-90.52,9883.79,-0.91%
2026-06-01,APA,275.0,36.26,持有,2026-04-15,47,-,-,9970.71,337.98,10308.69,3.39%
2026-06-01,AA,147.0,67.57,持有,2026-04-23,39,-,-,9932.54,1476.04,11408.58,14.86%
2026-06-01,JBS,641.0,15.6,持有,2026-04-24,38,-,-,9997.72,-2241.62,7756.1,-22.42%
2026-06-01,RL,27.0,360.06,持有,2026-05-04,28,-,-,9721.63,144.62,9866.25,1.49%
2026-06-01,R,43.0,230.03,持有,2026-05-19,13,-,-,9891.15,979.4,10870.55,9.90%
2026-06-02,WU,1168.0,8.56,持有,2026-03-31,63,-,-,9999.84,-982.95,9016.89,-9.83%
2026-06-02,BCE,402.0,24.83,持有,2026-03-31,63,-,-,9982.91,-334.96,9647.95,-3.36%
2026-06-02,TRV,34.0,292.76,持有,2026-03-31,63,-,-,9953.69,-105.44,9848.26,-1.06%
2026-06-02,MPLX,183.0,54.5,持有,2026-04-01,62,-,-,9974.32,33.49,10007.81,0.34%
2026-06-02,APA,275.0,36.26,持有,2026-04-15,48,-,-,9970.71,354.37,10325.08,3.55%
2026-06-02,AA,147.0,67.57,持有,2026-04-23,40,-,-,9932.54,2360.74,12293.27,23.77%
2026-06-02,JBS,641.0,15.6,持有,2026-04-24,39,-,-,9997.72,-2177.52,7820.2,-21.78%
2026-06-02,RL,27.0,360.06,持有,2026-05-04,29,-,-,9721.63,69.21,9790.84,0.71%
2026-06-02,SNEX,130.0,76.63,买入,2026-06-02,0,-,-,9961.88,-639.15,9322.73,-6.42%
2026-06-02,TGTX,271.0,36.89,买入,2026-06-02,0,-,-,9996.88,-67.44,9929.44,-0.67%
2026-06-02,RCI,266.0,37.56,卖出,2026-03-31,63,2026-06-02,38.58,9990.71,271.83,10262.54,2.72%
2026-06-02,R,43.0,230.03,卖出,2026-05-19,14,2026-06-02,252.8,9891.15,979.4,10870.55,9.90%
2026-06-03,WU,1168.0,8.56,持有,2026-03-31,64,-,-,9999.84,-1062.15,8937.7,-10.62%
2026-06-03,BCE,402.0,24.83,持有,2026-03-31,64,-,-,9982.91,-385.87,9597.05,-3.87%
